ID,front/title,front/icon,front/description,,,back/title,back/icon,back/description
ielts-by-category-culture-belief,Belief,,bɪˈliːf,n. ความเชื่อ,n,ความเชื่อ,🙏,His **belief** in himself helped him overcome challenges.
ielts-by-category-culture-culture,Culture,,ˈkʌltʃər,n. วัฒนธรรม,n,วัฒนธรรม,🌍,Learning about a new **culture** can be a rewarding experience.
ielts-by-category-culture-cultural-heritage,Cultural Heritage,,ˈkʌltʃərəl ˈhɛrɪtɪdʒ,n. มรดกทางวัฒนธรรม,n,มรดกทางวัฒนธรรม,🏛️,The ancient temple is a significant part of our **Cultural Heritage**.
ielts-by-category-culture-cultural-norms,Cultural Norms,,ˈkʌltʃərəl nɔːrmz,n. บรรทัดฐานทางวัฒนธรรม,n,บรรทัดฐานทางวัฒนธรรม,🌍,Understanding different **cultures** can enrich your travel experiences.
ielts-by-category-culture-ethics,Ethics,,ˈɛθɪks,n. จริยธรรม,n,จริยธรรม,⚖️,She demonstrated strong **Ethics** in her decision-making.
ielts-by-category-culture-heritage,Heritage,,ˈhɛrɪtɪdʒ,n. มรดก,n,มรดก,🏛️,Protecting our cultural **heritage** is essential for future generations.
ielts-by-category-culture-values,Values,,/ˈvæljuːz/,n. คุณค่า,n,คุณค่า,🎭,The company's core **values** include integrity and innovation.
ielts-by-category-culture-parades,Parades,,/pəˈreɪdz/,n. ขบวนพาเหรด,n,ขบวนพาเหรด,🎊,The cat jumped **gracefully** over the fence.
ielts-by-category-culture-public-duty,Public duty,,/ˈpʌblɪk ˈduːti/,n. หน้าที่สาธารณะ,n,หน้าที่สาธารณะ,🏛️,It is a **public duty** to vote.
ielts-by-category-culture-rituals,Rituals,,ˈrɪtʃuəlz,n. พิธีกรรม,n,พิธีกรรม,🪚,Many **rituals** are performed during the ceremony.
ielts-by-category-culture-mythology,Mythology,,/mɪˈθɒlədʒi/,n. เทพปกรณัม,n,เทพปกรณัม,✨,Greek **mythology** is full of interesting stories about gods and goddesses.
ielts-by-category-culture-myth,Myth,,/mɪθ/,n. ตำนาน,n,ตำนาน,✨,The story of the dragon was a local **myth**.
ielts-by-category-culture-subculture,Subculture,,/ˈsʌbkʌltʃər/,n. วัฒนธรรมย่อย,n,วัฒนธรรมย่อย,🤘,The goth **subculture** has a distinct fashion and music style.
ielts-by-category-culture-globalisation,Globalisation,,ˌɡloʊbəlɪˈzeɪʃən,n. โลกาภิวัตน์,n,โลกาภิวัตน์,🌎,**Globalisation** has led to increased interconnectedness among nations.
ielts-by-category-culture-fine-art,Fine art,,faɪn ɑːrt,n. วิจิตรศิลป์,n,วิจิตรศิลป์,🖼️,She appreciates the beauty of **Fine art**.
ielts-by-category-culture-migrant-worker,Migrant Worker,,ˈmaɪɡrənt ˈwɜːrkər,n. แรงงานข้ามชาติ,n,แรงงานข้ามชาติ,👷,The **Migrant Worker** sent money home to support their family.
ielts-by-category-culture-ancestry,Ancestry,,ˈænsɛstri,n. เชื้อสาย,n,เชื้อสาย,🌳,My **ancestry** can be traced back to ancient China.
ielts-by-category-culture-architecture,Architecture,,ˈɑːrkɪtektʃər,n. สถาปัตยกรรม,n,สถาปัตยกรรม,🏛️,The ancient **architecture** of Rome is truly breathtaking.
ielts-by-category-culture-art,Art,,/ɑːrt/,n. ศิลปะ,n,ศิลปะ,🎨,**Art** is a beautiful form of expression.
ielts-by-category-culture-ceremony,Ceremony,,/ˈsɛrɪməni/,n. พิธี,n,พิธี,🪅,The graduation **ceremony** was held in the auditorium.
ielts-by-category-culture-cuisine,Cuisine,,/kwɪˈziːn/,n. อาหาร (a-harn),n,อาหาร (a-harn),🧑‍🍳,The French **cuisine** is known for its rich flavors.
ielts-by-category-culture-custom,Custom,,ˈkʌstəm,adj. ประเพณี,adj,ประเพณี,🪡,It is **custom** to shake hands when meeting someone new.
ielts-by-category-culture-dance,Dance,,/dæns/,n. เต้นรำ,n,เต้นรำ,💃,She loves to **Dance** every weekend.
ielts-by-category-culture-dialect,Dialect,,/ˈdaɪəˌlɛkt/,n. ภาษาถิ่น,n,ภาษาถิ่น,🗣️,The local **dialect** was difficult for the tourists to understand.
ielts-by-category-culture-education,Education,,/ˌɛdʒuˈkeɪʃən/,n. การศึกษา,n,การศึกษา,🧑‍🎓,**Education** is key to a brighter future.
ielts-by-category-culture-ethnic-group,Ethnic group,,/ˈɛθnɪk ɡruːp/,n. กลุ่มชาติพันธุ์,n,กลุ่มชาติพันธุ์,👥,The **ethnic group** maintained their unique traditions.
ielts-by-category-culture-festival,Festival,,/ˈfɛstɪvəl/,n. เทศกาล,n,เทศกาล,🎉,The annual **festival** brought the community together.
ielts-by-category-culture-folklore,Folklore,,ˈfoʊklɔːr,n. คติชนวิทยา,n,คติชนวิทยา,🧚,The ancient **folklore** of the region tells tales of mythical creatures.
ielts-by-category-culture-geography,Geography,,/dʒiˈɒɡrəfi/,n. ภูมิศาสตร์,n,ภูมิศาสตร์,🌍,The study of **Geography** helps us understand the Earth's physical features.
ielts-by-category-culture-government,Government,,ˈɡʌvənmənt,n. รัฐบาล,n,รัฐบาล,🏛️,The **Government** announced new policies today.
ielts-by-category-culture-greeting,Greeting,,/ˈɡriːtɪŋ/,n. สวัสดี,n,สวัสดี,👋,A warm **greeting** can make someone's day.
ielts-by-category-culture-habit,Habit,,ˈhæbɪt,n. นิสัย,n,นิสัย,🔄,Brushing your teeth daily is a good **habit**.
ielts-by-category-culture-handicraft,Handicraft,,ˈhændikræft,n. หัตถกรรม,n,หัตถกรรม,🧵,The local **Handicraft** market offers unique handmade items.
ielts-by-category-culture-history,History,,ˈhɪstəri,n. ประวัติศาสตร์,n,ประวัติศาสตร์,📜,**History** is an important subject in school.
ielts-by-category-culture-holiday,Holiday,,ˈhɒlɪdeɪ,n. วันหยุด,n,วันหยุด,🎉,We are looking forward to our **Holiday** next month.
ielts-by-category-culture-humor,Humor,,ˈhjuːmər,n. อารมณ์ขัน,n,อารมณ์ขัน,😂,Her **humor** always brightens the room.
ielts-by-category-culture-identity,Identity,,/aɪˈdɛntɪti/,n. อัตลักษณ์,n,อัตลักษณ์,👤,The company's new logo represents its **identity**.
ielts-by-category-culture-language,Language,,ˈlæŋɡwɪdʒ,n. ภาษา,n,ภาษา,🗣️,**Language** is a powerful tool for communication.
ielts-by-category-culture-law,Law,,/lɔː/,n. กฎหมาย,n,กฎหมาย,⚖️,He studied criminal **law** in college.
ielts-by-category-culture-legend,Legend,,ˈlɛdʒənd,n. ตำนาน,n,ตำนาน,⭐,The **legend** of the lost city fascinated archaeologists for decades.
ielts-by-category-culture-literature,Literature,,ˈlɪtərətʃər,n. วรรณกรรม,n,วรรณกรรม,📚,She enjoys studying **Literature** in her free time.
ielts-by-category-culture-manner,Manner,,/ˈmænər/,n. มารยาท,n,มารยาท,🙏,Her quiet **manner** made her approachable.
ielts-by-category-culture-media,Media,,ˈmiːdiə,n. สื่อ,n,สื่อ,📺,**Media** plays a significant role in shaping public opinion.
ielts-by-category-culture-music,Music,,/ˈmjuːzɪk/,n. ดนตรี,n,ดนตรี,🎵,She found peace in listening to **Music**.
ielts-by-category-culture-norm,Norm,,/nɔːrm/,n. บรรทัดฐาน,n,บรรทัดฐาน,📏,It is the **norm** for students to complete their homework before class.
ielts-by-category-culture-oral-tradition,Oral tradition,,/ˈɔːrəl trəˈdɪʃən/,n. มุขปาฐะ,n,มุขปาฐะ,🗣️,The tribe relied on **oral tradition** to pass down stories.
ielts-by-category-culture-philosophy,Philosophy,,/fɪˈlɒsəfi/,n. ปรัชญา,n,ปรัชญา,🤔,She enjoyed studying **Philosophy** in college.
ielts-by-category-culture-political-system,Political system,,pəˈlɪtɪkl̩ ˈsɪstəm,n. ระบบการเมือง,n,ระบบการเมือง,🏛️,The nation's **political system** influences its economic stability.
ielts-by-category-culture-population,Population,,/ˌpɒpjʊˈleɪʃən/,n. ประชากร,n,ประชากร,👨‍👩‍👧‍👦,The cat sat on the **mat**.
ielts-by-category-culture-religion,Religion,,/rɪˈlɪdʒən/,n. ศาสนา,n,ศาสนา,🙏,**Religion** plays a significant role in many cultures.
ielts-by-category-culture-social-structure,Social structure,,ˈsoʊʃəl ˈstrʌktʃər,n. โครงสร้างทางสังคม,n,โครงสร้างทางสังคม,🏘️,The anthropologist studied the **social structure** of the ancient civilization.
ielts-by-category-culture-song,Song,,sɒŋ,n. เพลง,n,เพลง,🎶,The artist wrote a beautiful **Song**.
ielts-by-category-culture-storytelling,Storytelling,,ˈstɔːriˌtɛlɪŋ,n. การเล่าเรื่อง,n,การเล่าเรื่อง,📚,**Storytelling** is a powerful way to connect with people.
ielts-by-category-culture-symbol,Symbol,,ˈsɪmbəl,n. สัญลักษณ์,n,สัญลักษณ์,⚛️,The dove is a **symbol** of peace.
ielts-by-category-culture-taboo,Taboo,,/təˈbuː/,n. ข้อห้าม,n,ข้อห้าม,🚫,"In some cultures, it is **taboo** to discuss personal finances openly."
ielts-by-category-culture-tradition,Tradition,,tɹəˈdɪʃən,n. ประเพณี,n,ประเพณี,📜,It is a **tradition** to have turkey for Thanksgiving.
ielts-by-category-culture-to-conserve,To conserve,,tʊ kənˈsɜrv,v. อนุรักษ์,v,อนุรักษ์,🌳,We must work together to **conserve** our natural resources.
ielts-by-category-culture-value,Value,,['væljuː],n. คุณค่า,n,คุณค่า,💰,The company places a high **value** on customer satisfaction.
ielts-by-category-culture-verbal-communication,Verbal communication,,/ˈvɜːrbəl kəˌmjuːnɪˈkeɪʃən/,n. การสื่อสารด้วยวาจา,n,การสื่อสารด้วยวาจา,🗣️,**Verbal communication** is essential for clear understanding.
ielts-by-category-culture-visual-art,Visual art,,ˈvɪʒuəl ɑːrt,n. ทัศนศิลป์,n,ทัศนศิลป์,🖼️,**Visual art** can be a powerful form of expression.
ielts-by-category-culture-way-of-life,Way of life,,/ˈweɪ əv laɪf/,n. วิถีชีวิต,n,วิถีชีวิต,🎭,The local **culture** is very vibrant.
ielts-by-category-culture-wedding,Wedding,,/ˈwɛdɪŋ/,n. งานแต่งงาน,n,งานแต่งงาน,💒,The **Wedding** ceremony was beautiful.
ielts-by-category-culture-work,Work,,/wɜːrk/,n. งาน,n,งาน,🏗️,We need to **Work** together to finish the project.
ielts-by-category-culture-writing-system,Writing system,,ˈraɪtɪŋ ˈsɪstəm,n. ระบบการเขียน,n,ระบบการเขียน,✍️,The ancient Egyptians developed a complex **writing system**.
