ID,front/title,front/icon,front/description,back/title,,,back/icon,back/description
ielts-by-category-health-binge-drinking,Binge Drinking,,/bɪndʒ ˈdrɪŋkɪŋ/,n. ดื่มเหล้าหนัก,n,ดื่มเหล้าหนัก,🍺,**Binge drinking** can have serious health consequences.
ielts-by-category-health-balanced-diet,Balanced Diet,,ˈbælənst ˈdaɪət,n. อาหารสมดุล,n,อาหารสมดุล,⚕️,Eating a **Balanced Diet** is crucial for maintaining good health.
ielts-by-category-health-strain,Strain,,/streɪn/,n. อาการปวดตึง,n,อาการปวดตึง,🩹,Please avoid putting too much **strain** on your back when lifting heavy objects.
ielts-by-category-health-diagnose,Diagnose,,/ˈdaɪəɡnoʊs/,v. วินิจฉัย,v,วินิจฉัย,🩺,The doctor will **diagnose** the patient's condition.
ielts-by-category-health-underlying-health-issues,Underlying Health Issues,,ʌndərˈlaɪɪŋ hɛlθ ˈɪʃuːz,adj. ปัญหาสุขภาพพื้นฐาน,adj,ปัญหาสุขภาพพื้นฐาน,❤️,Eating a balanced diet is important for good **Health**.
ielts-by-category-health-mental-health,Mental Health,,[ˈmɛntəl hɛlθ],n. สุขภาพจิต,n,สุขภาพจิต,🧠,Prioritizing **Health** leads to a better quality of life.
ielts-by-category-health-prevent,Prevent,,/prɪˈvɛnt/,v. ป้องกัน,v,ป้องกัน,🚫,Regular exercise can help **prevent** many health issues.
ielts-by-category-health-obesity,Obesity,,oʊˈbiːsɪti,n. โรคอ้วน,n,โรคอ้วน,🍔,**Obesity** is a major health concern worldwide.
ielts-by-category-health-rapid-weight-gain,Rapid Weight Gain,,ˈræpɪd weɪt ɡeɪn,n. น้ำหนักเพิ่มเร็ว,n,น้ำหนักเพิ่มเร็ว,⚖️,Rapid **Weight Gain** can be a symptom of various underlying health issues.
ielts-by-category-health-nutrients,Nutrients,,ˈnjuːtriənts,n. สารอาหาร,n,สารอาหาร,🍎,Proper **Nutrients** are essential for a healthy diet.
ielts-by-category-health-contaminated,Contaminated,,/kənˈtæmɪneɪtɪd/,v. ปนเปื้อน,v,ปนเปื้อน,☣️,The food was **contaminated** with bacteria.
ielts-by-category-health-isolation,Isolation,,/ˌaɪsəˈleɪʃən/,n. การแยกตัว,n,การแยกตัว,🫥,"During the pandemic, many people experienced a sense of **isolation**."
ielts-by-category-health-quarantine,Quarantine,,ˈkwɒrəntiːn,n. กักตัว,n,กักตัว,🦠,The city imposed a **quarantine** to prevent the spread of the virus.
ielts-by-category-health-processed-food,Processed food,,ˈproʊsɛst fud,n. อาหารแปรรูป,n,อาหารแปรรูป,🍔,Eating too much **Processed food** can be detrimental to your health.
ielts-by-category-health-running-a-temperature,Running a temperature,,/ˈrʌnɪŋ ə ˈtɛmprətʃər/,n. มีไข้,n,มีไข้,🤒,The doctor said I had a **temperature** of 102 degrees.
ielts-by-category-health-abdominal-pain,Abdominal pain,,/æbˈdɒmɪnəl peɪn/,n. ปวดท้อง,n,ปวดท้อง,🤕,The patient experienced **abdominal pain** after eating.
ielts-by-category-health-allergic-reaction,Allergic reaction,,/əˈlɜːrdʒɪk riˈækʃən/,n. อาการแพ้,n,อาการแพ้,🤧,Make sure to bring your **passport** for the trip.
ielts-by-category-health-antidepressant,Antidepressant,,/ˌæntidɪˈprɛsənt/,n. ยาแก้ซึมเศร้า,n,ยาแก้ซึมเศร้า,💊,The doctor prescribed an **antidepressant** to help with her mood.
ielts-by-category-health-anxiety,Anxiety,,/æŋˈzaɪəti/,n. ความวิตกกังวล,n,ความวิตกกังวล,😥,He felt a surge of **anxiety** before his job interview.
ielts-by-category-health-asthma-attack,Asthma attack,,ˈæzmə əˈtæk,n. หอบหืดกำเริบ,n,หอบหืดกำเริบ,🫁,He had an **asthma attack** after running the marathon.
