ID,front/title,front/icon,front/description,back/title,back/icon,back/description
chinese-essencial-in-communication-1-english-you,你,,nǐ,you,👤,**你**好。 (Nǐ hǎo.) **You** are good. (or Hello.)
chinese-essencial-in-communication-1-english-well-good,好,,hǎo,"well, good",👍,你**好**。 (Nǐ **hǎo**.) You are **good**.
chinese-essencial-in-communication-1-english-you-polite-form,您,,nín,you (polite form),🙇,**您**贵姓？ (**Nín** guìxìng?) What is **your** surname (polite)?
chinese-essencial-in-communication-1-english-you-plural-form,你们,,nǐmen,you (plural form),👥,**你们**是学生吗？ (**Nǐmen** shì xuéshēng ma?) Are **you** (plural) students?
chinese-essencial-in-communication-1-english-i'm-sorry,对不起,,duìbuqǐ,I'm sorry,😥,"我做错了，**对不起**。 (Wǒ zuòcuòle, **duìbuqǐ**.) I made a mistake, **I'm sorry**."
chinese-essencial-in-communication-1-english-it-doesn't-matter,没关系,,méi guānxi,it doesn't matter,😌,"**没关系**，下次注意。 (**Méi guānxi**), xiàcì zhùyì. **It doesn't matter**, be careful next time."
chinese-essencial-in-communication-1-english-eh-expressing-question,嗯,,ńg,eh (expressing question),🤔,**嗯**? 你说什么? (**Ńg**)? Nǐ shuō shénme? **Eh**? What did you say?
chinese-essencial-in-communication-1-english-student,学生,,xuéshēng,student,🧑‍🎓,我是一个**学生**。 (Wǒ shì yí ge **xuéshēng**.) I am a **student**.
chinese-essencial-in-communication-1-english-a-particle-used-at-the-end-of-a-question,吗,,ma,(a particle used at the end of a question),❓,你是老师**吗**？ (Nǐ shì lǎoshī **ma**)? Are you a teacher**?**
chinese-essencial-in-communication-1-english-your-surname-honorific,贵姓,,guìxìng,(your) surname (honorific),📜,请问您**贵姓**？ (Qǐngwèn nín **guìxìng**)? May I ask **your surname**?
chinese-essencial-in-communication-1-english-to-be-surnamed,姓,,xìng,to be surnamed,👨‍👩‍👧,我**姓**王。 (Wǒ **xìng** Wáng.) I **am surnamed** Wang.
chinese-essencial-in-communication-1-english-may-i-ask...,请问,,qǐngwèn,may I ask...,🗣️,"**请问**，厕所在哪里？ (**Qǐngwèn**), cèsuǒ zài nǎlǐ? **May I ask**, where is the restroom?"
chinese-essencial-in-communication-1-english-please,请,,qǐng,please,🙏,**请**坐。 (**Qǐng**) zuò. **Please** sit.
chinese-essencial-in-communication-1-english-to-ask,问,,wèn,to ask,❓,我**问**老师一个问题。 (Wǒ **wèn** lǎoshī yí ge wèntí.) I **ask** the teacher a question.
chinese-essencial-in-communication-1-english-to-know,认识,,rènshi,to know,👋,很高兴**认识**你。 (Hěn gāoxìng **rènshi** nǐ.) Very happy **to know** you.
chinese-essencial-in-communication-1-english-very-quite,很,,hěn,"very, quite",⬆️,我**很**高兴。 (Wǒ **hěn**) gāoxìng. I am **very** happy.
chinese-essencial-in-communication-1-english-happy,高兴,,gāoxìng,happy,😄,我很高兴**高兴**。 (Wǒ hěn **gāoxìng**.) I am very **happy**.
chinese-essencial-in-communication-1-english-too-also-as-well,也,,yě,"too, also, as well",➕,我**也**是学生。 (Wǒ **yě**) shì xuéshēng. I am a student **too**.
chinese-essencial-in-communication-1-english-i-me,我,,wǒ,"I, me",🙋,**我**是麦克。 (**Wǒ**) shì Màikè. **I** am Mike.
chinese-essencial-in-communication-1-english-to-be,是,,shì,to be,✅,他**是**老师。 (Tā **shì**) lǎoshī. He **is** a teacher.
