ID,front/title,front/icon,front/description,back/title,,,back/icon,back/description
ielts-by-category-education-academic-achievement,Academic Achievement,,/ˌækəˈdɛmɪk əˈtʃiːvmənt/,"adj, n. ผลสัมฤทธิ์ทางการเรียน","adj, n",ผลสัมฤทธิ์ทางการเรียน,🎓,Her **academic achievement** earned her a scholarship to a top university.
ielts-by-category-education-elective-subject,Elective Subject,,ɪˈlɛktɪv ˈsʌbdʒɪkt,n. วิชาเลือก,n,วิชาเลือก,🧑‍🎓,Students can choose an **Elective Subject** to broaden their studies.
ielts-by-category-education-study-skills,Study Skills,,ˈstʌdi skɪlz,n. ทักษะการเรียน,n,ทักษะการเรียน,🎓,Developing strong **Study Skills** can greatly improve academic performance.
ielts-by-category-education-syllabus,Syllabus,,ˈsɪləbəs,n. หลักสูตร,n,หลักสูตร,📖,The **syllabus** outlines the course requirements.
ielts-by-category-education-flying-colors,Flying Colors,,/ˈflaɪɪŋ ˈkʌlərz/,n. สอบผ่านฉลุย,n,สอบผ่านฉลุย,🌈,She passed her exam with **Flying Colors**.
ielts-by-category-education-data-gathering,Data-gathering,,ˈdeɪtə ˈɡæðərɪŋ,n. การรวบรวมข้อมูล,n,การรวบรวมข้อมูล,📊,Effective **data-gathering** is crucial for accurate research.
ielts-by-category-education-distance-learning,Distance learning,,ˈdɪstəns ˈlɜrnɪŋ,n. การเรียนทางไกล,n,การเรียนทางไกล,💻,The university offers a comprehensive program in **distance learning**.
ielts-by-category-education-passfail-the-exam,Pass/fail the exam,,pæs/feɪl ði ɪɡˈzæm,v. สอบผ่าน/สอบตก,v,สอบผ่าน/สอบตก,⚖️,Students will have to **pass/fail the exam** to complete the course.
ielts-by-category-education-drop-out-of-school,Drop out of school,,drɒp aʊt əv skuːl,v. ออกโรงเรียน,v,ออกโรงเรียน,🚏,He decided to go back to **school** to finish his degree.
ielts-by-category-education-learning-materials,Learning Materials,,/ˈlɜːrnɪŋ məˈtɪriəlz/,n. สื่อการเรียนรู้,n,สื่อการเรียนรู้,🧑‍🎓,**Education** is key to a brighter future.
ielts-by-category-education-group-work,Group Work,,ɡruːp wɜːrk,n. งานกลุ่ม,n,งานกลุ่ม,🤝,**Group Work** is a common activity in many educational settings.
ielts-by-category-education-curriculum,Curriculum,,/kəˈrɪkjʊləm/,n. หลักสูตร,n,หลักสูตร,📚,The new school **curriculum** focuses on hands-on learning experiences.
ielts-by-category-education-autonomous-learning,Autonomous Learning,,/ɔˈtɒnəməs ˈlɜːrnɪŋ/,n. การเรียนรู้แบบอิสระ,n,การเรียนรู้แบบอิสระ,🧑‍🎓,"Through **autonomous learning**, students take charge of their own educational journey."
ielts-by-category-education-mixed-school,Mixed school,,/mɪkst skuːl/,n. สหศึกษา,n,สหศึกษา,🏫,My sister goes to a **mixed school**.
ielts-by-category-education-seperate-schools,Seperate schools,,ˈsɛpərɪt skulz,v. โรงเรียนแยก,v,โรงเรียนแยก,🏫,The community debated the impact of **separate schools** on educational equity.
ielts-by-category-education-assessment,Assessment,,/əˈsɛsmənt/,n. การประเมิน,n,การประเมิน,📝,The teacher will conduct an **assessment** of the students' progress.
ielts-by-category-education-attendance,Attendance,,/əˈtɛndəns/,n. การเข้าร่วม,n,การเข้าร่วม,🗓️,**Attendance** at the seminar is mandatory.
ielts-by-category-education-benchmark,Benchmark,,['bɛntʃmɑːrk],n. มาตรฐาน,n,มาตรฐาน,🎯,Setting a high **benchmark** for quality ensures customer satisfaction.
ielts-by-category-education-dissertation,Dissertation,,/ˌdɪsərˈteɪʃən/,n. วิทยานิพนธ์,n,วิทยานิพนธ์,🎓,Her **dissertation** focused on the impact of social media on modern communication.
ielts-by-category-education-formal-examinations,Formal examinations,,ˈfɔːrməl ɪɡˌzæmɪˈneɪʃənz,n. การสอบ,n,การสอบ,📝,Students must prepare for their **formal examinations** at the end of the semester.
ielts-by-category-education-feedback,Feedback,,ˈfiːdbæk,n. ผลตอบรับ,n,ผลตอบรับ,🗣️,We value your **Feedback** on the new educational program.
ielts-by-category-education-grade,Grade,,ɡreɪd,n. เกรด,n,เกรด,💯,She received a good **Grade** on her test.
ielts-by-category-education-homework,Homework,,ˈhoʊmˌwɜrk,n. การบ้าน,n,การบ้าน,📚,Students must complete their **Homework** every night.
ielts-by-category-education-inclusion,Inclusion,,ɪnˈkluːʒən,n. การรวม,n,การรวม,🤝,The goal of the program is to promote social **inclusion**.
ielts-by-category-education-lecture,Lecture,,/ˈlɛktʃər/,n. บรรยาย,n,บรรยาย,🗣️,The **lecture** was engaging and informative.
ielts-by-category-education-literacy,Literacy,,ˈlɪtərəsi,n. การรู้หนังสือ,n,การรู้หนังสือ,📚,Promoting adult **literacy** is crucial for community development.
ielts-by-category-education-methodology,Methodology,,/ˌmɛθəˈdɒlədʒi/,n. ระเบียบวิธี,n,ระเบียบวิธี,📊,The research team developed a new **methodology** for data analysis.
ielts-by-category-education-numeracy,Numeracy,,/ˈnjuːmərəsɪ/,n. การคิดคำนวณ,n,การคิดคำนวณ,🧮,Good **numeracy** skills are essential for managing personal finances.
ielts-by-category-education-orientation,Orientation,,ˌɔriɛnˈteɪʃən,n. ปฐมนิเทศ,n,ปฐมนิเทศ,🧭,The new employees attended an **orientation** session.
ielts-by-category-education-plagiarism,Plagiarism,,ˈpleɪdʒərɪzəm,n. การคัดลอกผลงานผู้อื่น,n,การคัดลอกผลงานผู้อื่น,✍️,**Plagiarism** is a serious academic offense.
ielts-by-category-education-presentation,Presentation,,/ˌprɛzənˈteɪʃən/,n. การนำเสนอ,n,การนำเสนอ,🗣️,The **presentation** was informative and engaging.
ielts-by-category-education-qualification,Qualification,,kwɒlɪfɪˈkeɪʃən,n. วุฒิการศึกษา,n,วุฒิการศึกษา,🎓,Please remember to **submit** your assignment by Friday.
ielts-by-category-education-research,Research,,/ˈriːsɜːtʃ/,n. งานวิจัย,n,งานวิจัย,🔬,The **Research** conducted was very thorough.
ielts-by-category-education-scholarship,Scholarship,,ˈskɒləʃɪp,n. ทุนการศึกษา,n,ทุนการศึกษา,🎓,She received a **Scholarship** to attend college.
ielts-by-category-education-skill,Skill,,/skɪl/,n. ทักษะ,n,ทักษะ,💪,Developing a new **skill** can open up many opportunities.
ielts-by-category-education-self-study,Self-study,,/ˌsɛlfˈstʌdi/,n. ศึกษาด้วยตนเอง,n,ศึกษาด้วยตนเอง,📚,**Self-study** is a great way to learn new skills.
ielts-by-category-education-textbook,Textbook,,ˈtɛkstˌbʊk,n. ตำราเรียน,n,ตำราเรียน,📚,The student studied the **textbook** for the exam.
ielts-by-category-education-thesis,Thesis,,/ˈθiːsɪs/,n. วิทยานิพนธ์,n,วิทยานิพนธ์,✍️,Her **thesis** explored the impact of social media on political discourse.
ielts-by-category-education-tutorial,Tutorial,,/tuːˈtɔːriəl/,n. บทเรียน,n,บทเรียน,📚,I need to **focus** on my studies.
ielts-by-category-education-university,University,,/ˌjuːnɪˈvɜːrsəti/,n. มหาวิทยาลัย,n,มหาวิทยาลัย,🎓,She applied to her dream **University** for a scholarship.
ielts-by-category-education-vocabulary,Vocabulary,,/vəˈkæbjəˌlɛri/,n. คำศัพท์,n,คำศัพท์,📚,Learning new **vocabulary** can improve your writing skills.
ielts-by-category-education-workshop,Workshop,,ˈwɜːrkʃɑːp,n. เวิร์คช็อป,n,เวิร์คช็อป,🛠️,The team attended a **workshop** on effective communication.
ielts-by-category-education-yearbook,Yearbook,,ˈjɪərbʊk,n. หนังสือรุ่น,n,หนังสือรุ่น,📸,The **cat** sat on the mat.
ielts-by-category-education-access,Access,,ˈæk.sɛs,n. เข้าถึง,n,เข้าถึง,🔑,Please grant me **Access** to the document.
ielts-by-category-education-collaboration,Collaboration,,kəˌlæbəˈreɪʃən,n. ความร่วมมือ,n,ความร่วมมือ,🤝,Effective **collaboration** is key to team success.
ielts-by-category-education-creativity,Creativity,,/ˌkriːeɪˈtɪvɪti/,n. ความคิดสร้างสรรค์,n,ความคิดสร้างสรรค์,💡,**Creativity** is essential for problem-solving.
ielts-by-category-education-critical-thinking,Critical thinking,,ˈkrɪtɪkəl ˈθɪŋkɪŋ,n. การคิดเชิงวิพากษ์,n,การคิดเชิงวิพากษ์,🤔,**Critical thinking** is essential for problem-solving.
ielts-by-category-education-cultural-diversity,Cultural diversity,,ˈkʌltʃərəl daɪˈvɜːrsɪti,n. ความหลากหลายทางวัฒนธรรม,n,ความหลากหลายทางวัฒนธรรม,🌍,**Cultural diversity** is a valuable asset in any community.
ielts-by-category-education-rote-learning,Rote-learning,,/ˈroʊt ˈlɜːrnɪŋ/,n. การเรียนรู้แบบท่องจำ,n,การเรียนรู้แบบท่องจำ,🧠,**Rote-learning** can be effective for memorizing facts.
