ID,front/title,front/icon,front/description,,back/title,back/icon,back/description,,,
chinese-essencial-in-communication-3-thai-cloudy-day,阴天,,yīntiān,cloudy day,วันฟ้าครึ้ม,☁️,今天是**阴天**。 (Jīntiān shì **yīn tiān**.) วันนี้เป็น**วันที่มีเมฆมาก**,今天是**阴天**。,Jīntiān shì **yīn tiān**.,วันนี้เป็น**วันที่มีเมฆมาก**
chinese-essencial-in-communication-3-thai-weather,天气,,tiānqì,weather,สภาพอากาศ,☀️,今天**天气**很好。 (Jīntiān **tiānqì** hěn hǎo.) วันนี้**อากาศ**ดีมาก,今天**天气**很好。,Jīntiān **tiānqì** hěn hǎo.,วันนี้**อากาศ**ดีมาก
chinese-essencial-in-communication-3-thai-weather-forecast,天气预报,,tiānqì yùbào,weather forecast,พยากรณ์อากาศ,📺,今天的**天气预报**说会下雨。 (Jīntiān de **tiānqì yùbào** shuō huì xià yǔ.) พยากรณ์**อากาศ**วันนี้บอกว่าฝนจะตก,今天的**天气预报**说会下雨。,Jīntiān de **tiānqì yùbào** shuō huì xià yǔ.,พยากรณ์**อากาศ**วันนี้บอกว่าฝนจะตก
chinese-essencial-in-communication-3-thai-to-forecast,预报,,yùbào,to forecast,พยากรณ์,🔮,明天有**预报**。 (míngtiān yǒu **yùbào**.) พรุ่งนี้มี**พยากรณ์**อากาศ,明天有**预报**。,míngtiān yǒu **yùbào**.,พรุ่งนี้มี**พยากรณ์**อากาศ
chinese-essencial-in-communication-3-thai-be-likely-to,会,,huì,be likely to,จะ,🤔,我**会**说汉语。 (Wǒ **huì** shuō Hànyǔ.) ฉัน**พูด**ภาษาจีนได้,我**会**说汉语。,Wǒ **huì** shuō Hànyǔ.,ฉัน**พูด**ภาษาจีนได้
chinese-essencial-in-communication-3-thai-to-rain,下雨,,xià yǔ,to rain,ฝนตก,🌧️,今天**下雨**。 (Jīntiān **xiàyǔ**.) วันนี้**ฝน**ตก,今天**下雨**。,Jīntiān **xiàyǔ**.,วันนี้**ฝน**ตก
chinese-essencial-in-communication-3-thai-heavy-rain,大雨,,dà yǔ,heavy rain,ฝนตกหนัก,⛈️,外面下着**大雨**。 (wàimian xiàzhe **dàyǔ**.) ข้างนอกฝนตก**หนัก**,外面下着**大雨**。,wàimian xiàzhe **dàyǔ**.,ข้างนอกฝนตก**หนัก**
chinese-essencial-in-communication-3-thai-light-rain-drizzle,小雨,,xiǎo yǔ,"light rain, drizzle",ฝนปรอย,☔,今天有**小雨**。 (Jīntiān yǒu **xiǎoyǔ**.) วันนี้มี**ฝนปรอยๆ**,今天有**小雨**。,Jīntiān yǒu **xiǎoyǔ**.,วันนี้มี**ฝนปรอยๆ**
chinese-essencial-in-communication-3-thai-why,为什么,,wèishénme,why,ทำไม,❓,你**为什么**喜欢学中文？ (Nǐ **wèishénme** xǐhuān xué Zhōngwén?) คุณชอบเรียนภาษาจีน**ทำไม**?,你**为什么**喜欢学中文？,Nǐ **wèishénme** xǐhuān xué Zhōngwén?,คุณชอบเรียนภาษาจีน**ทำไม**?
