ID,,front/title,front/icon,front/description,,back/title,back/icon,back/description
chinese-essencial-in-communication-1-thai-you,你,你,,nǐ,you,คุณ,👤,**你**好。 (Nǐ hǎo.) สวัสดี**คุณ**
chinese-essencial-in-communication-1-thai-well-good,好,好,,hǎo,"well, good","ดี, สบายดี",👍,你**好**。 (Nǐ **hǎo**.) สบายดี**ไหม**
chinese-essencial-in-communication-1-thai-you-polite-form,您,您,,nín,you (polite form),ท่าน (สุภาพ),🙇,**您**贵姓？ (**Nín** guìxìng?) **ท่าน**นามสกุลอะไร?
chinese-essencial-in-communication-1-thai-you-plural-form,你们,你们,,nǐmen,you (plural form),พวกคุณ,👥,**你们**是学生吗？ (**Nǐmen** shì xuéshēng ma?) **พวกคุณ**เป็นนักเรียนไหม?
chinese-essencial-in-communication-1-thai-i'm-sorry,对不起,对不起,,duìbuqǐ,I'm sorry,ขอโทษ,😥,"我做错了，**对不起**。 (Wǒ zuòcuòle, **duìbuqǐ**.) ฉันทำผิดไปแล้ว **ขอโทษ**นะ"
chinese-essencial-in-communication-1-thai-it-doesn't-matter,没关系,没关系,,méi guānxi,it doesn't matter,ไม่เป็นไร,😌,"**没关系**，下次注意。 (**Méi guānxi**), xiàcì zhùyì. **ไม่เป็นไร** ไว้ครั้งหน้าก็ระวัง"
chinese-essencial-in-communication-1-thai-eh-expressing-question,嗯,嗯,,ńg,eh (expressing question),เอ๊ะ ,🤔,**嗯**? 你说什么? (**Ńg**)? Nǐ shuō shénme? **เอ๊ะ**? คุณพูดว่าอะไรนะ?
chinese-essencial-in-communication-1-thai-student,学生,学生,,xuéshēng,student,นักเรียน,🧑‍🎓,我是一个**学生**。 (Wǒ shì yí ge **xuéshēng**.) ฉันเป็น**นักเรียน**คนหนึ่ง
chinese-essencial-in-communication-1-thai-a-particle-used-at-the-end-of-a-question,吗,吗,,ma,(a particle used at the end of a question),"ไหม, หรือเปล่า",❓,你是老师**吗**？ (Nǐ shì lǎoshī **ma**)? คุณเป็นครูใช่**ไหม**?
chinese-essencial-in-communication-1-thai-your-surname-honorific,贵姓,贵姓,,guìxìng,(your) surname (honorific),นามสกุล (คำยกย่อง),📜,请问您**贵姓**？ (Qǐngwèn nín **guìxìng**)? ขอถามนามสกุลของ**ท่าน**หน่อย
